system   D            wsystem.c:583  maybe_parent_dir                 [   0.00094] Also searching C:\Users\crape\Desktop\Programmeren\Project_Github\SlimeVolley\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00165] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00179] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.00370] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.01791] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.01802] Allegro version: 5.0.10
dtor     D               dtor.c:184  _al_register_destructor          [   0.01894] added dtor for object 009961F0, func 711224CD
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.02085] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.02089] al_display=00A004C0
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.02090] al_display->vt=009A3C28
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.02314] found 64 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.02317] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02319] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02320] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02321] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02321] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02322] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02323] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02324] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02325] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02326] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02327] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02328] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02329] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
